0,1,2,3,4,5,6,7,8,9,10
0,26,16,21,25,5,17,9,64,11,102
1,1,808,764,11,17,5,16,21,25,9
2,688,100,675,731,534,814,45,39,112,77
3,1490,911,277,14,3,11,21,16,25,5
4,4,549,329,1201,421,936,1153,69,8,113
5,1861,498,101,11,64,9,5,25,21,16
6,1448,6,679,300,239,194,153,9,21,16
7,636,490,1469,1544,74,1056,1781,7,1772,1636
8,1143,798,1225,1284,761,300,15,49,0,105
9,430,10,49,0,26,9,17,16,21,25
10,1240,1027,35,368,39,206,112,3,11,5
11,12,1752,1498,109,58,44,16,21,25,5
12,24,477,122,547,169,1349,1846,1749,13,172
13,824,166,356,20,39,206,11,9,5,21
14,481,1815,926,1117,1695,126,1313,34,206,14
15,1084,1648,1780,332,243,73,314,77,64,16
16,996,1315,241,1282,1027,459,220,108,302,28
17,204,10,747,77,64,17,25,16,21,5
18,1319,800,1140,544,1249,43,102,3,9,17
19,0,1276,1275,1274,1273,1272,1271,1270,1269,1268
20,949,1654,18,1016,77,9,16,21,25,5
21,94,179,17,16,21,5,25,9,64,11
22,1283,1085,1305,1133,1741,148,405,202,54,20
23,395,258,1473,364,1587,1883,540,93,234,73
24,439,1068,1098,366,587,365,455,9,17,21
25,532,1009,1058,1082,1130,1623,1851,519,570,953
26,928,809,53,22,464,211,58,49,39,134
27,1834,1751,501,667,980,72,17,25,16,21
28,676,1181,939,3,17,21,16,25,5,9
29,1506,1358,369,787,22,79,314,17,25,21
30,664,356,20,26,101,17,21,16,25,5
31,14,102,3,101,11,9,17,5,21,16
32,27,1107,1491,400,49,59,9,17,5,21
33,193,1569,690,73,31,59,40,11,64,17
34,746,29,91,259,40,11,25,16,21,5
35,30,168,17,16,21,25,5,9,64,11
36,239,21,16,5,25,17,991,9,11,64
37,32,1015,1165,372,393,1403,315,308,296,112
38,1570,370,789,984,1718,826,213,1013,1111,747
39,222,1510,60,26,40,64,21,16,25,5
40,1271,844,228,1585,686,5,21,16,25,17
41,1572,1839,339,619,1016,73,368,31,64,9
42,709,535,234,3,11,9,5,21,16,25
43,303,353,494,738,486,57,619,270,93,45
44,1331,729,111,508,87,39,11,5,21,16
45,1163,1260,953,930,36,79,368,105,112,101
46,37,305,1231,1401,5,21,16,25,17,9
47,696,1720,261,165,87,0,153,102,101,11
48,1739,1786,34,38,59,9,5,16,21,25
49,1703,1094,1826,1859,1262,882,756,1479,809,1245
50,765,255,297,243,345,54,368,70,153,9
51,287,157,703,1052,537,1243,680,204,464,559
52,183,181,146,259,197,40,16,21,25,5
53,3,11,5,25,16,21,17,9,64,101
