0,1,2,3,4,5,6,7,8,9,10
0,0,26,21,16,17,25,5,9,33,65
1,1,820,774,109,11,5,17,21,16,25
2,100,2,543,685,742,698,825,926,45,113
3,1494,919,723,506,278,14,154,11,3,9
4,4,559,1858,513,1208,1396,1055,944,908,331
5,502,698,38,320,101,11,65,9,5,25
6,6,689,1189,924,1449,302,240,196,154,101
7,647,494,1470,1552,7,75,1070,492,1666,1644
8,810,1289,1157,1234,772,408,15,609,302,49
9,434,10,49,0,26,9,17,16,21,25
10,1248,1038,35,373,370,207,113,39,11,3
11,12,286,1757,1505,1761,340,110,44,58,17
12,24,123,1333,170,173,13,1660,1850,1755,1335
13,835,728,358,167,20,207,102,39,11,9
14,485,1820,1698,1133,934,713,127,1319,34,0
15,1098,1658,1783,334,72,954,74,140,73,225
16,1006,1038,401,242,109,304,463,15,221,28
17,759,10,205,167,43,3,65,17,25,16
18,1326,812,1154,554,1257,668,43,227,244,102
19,258,17,21,16,25,5,9,33,11,3
20,1663,956,1029,18,273,264,199,69,78,101
21,1442,1181,448,94,180,196,39,17,16,21
22,1777,964,1288,1099,831,734,1311,663,1149,1746
23,397,1474,1691,1595,550,366,259,74,93,235
24,1114,368,1083,598,443,460,367,9,17,21
25,541,1020,1072,526,1146,1632,1856,1096,961,1214
26,936,1763,821,22,53,468,212,49,58,316
27,1839,1482,505,676,990,23,73,17,25,21
28,947,1191,686,3,17,21,16,25,5,9
29,1067,1367,798,371,22,316,17,25,21,16
30,673,358,270,20,26,101,17,21,16,25
31,453,166,370,14,113,102,78,101,11,3
32,27,1124,1495,1682,275,49,403,59,31,135
33,195,1497,1714,1446,1549,1553,1815,1297,294,1536
34,1819,758,525,366,153,29,260,91,316,40
35,1207,169,30,17,16,21,25,5,9,65
36,240,31,21,16,25,17,5,9,33,65
37,1176,395,1044,84,879,1728,374,317,1028,32
38,372,799,994,564,1732,1508,1578,1739,214,1362
39,223,1518,60,26,40,65,17,16,21,25
40,1276,855,1231,1594,1716,1883,229,1591,1522,1515
41,1247,1496,1737,1896,1156,1447,1525,1844,216,1152
42,720,118,290,544,996,345,369,132,926,566
43,305,354,1023,490,498,749,629,57,109,271
44,1547,1338,112,512,740,87,39,11,65,5
45,1174,1040,1102,1813,1,1266,961,1298,1134,1318
46,307,1061,1240,1407,37,401,545,142,282,375
47,707,1725,77,646,580,273,320,87,403,166
48,1894,1744,1789,34,38,59,9,5,16,21
49,891,1706,1833,1110,238,1863,1268,863,821,920
50,776,256,1450,299,54,93,77,79,320,244
51,714,1065,289,690,1251,158,468,569,205,546
52,183,185,147,260,199,40,65,16,21,25
53,1733,224,1033,136,41,546,134,94,59,69
54,1774,1426,1598,112,1079,648,42,132,926,375
55,1391,330,91,31,25,21,16,17,5,9
56,910,1050,1541,1269,1526,963,155,68,419,70
57,116,34,66,298,44,199,33,9,17,21
58,25,16,21,17,5,65,9,33,1451,1628
59,315,245,161,298,3,65,5,25,16,21
60,388,1880,1011,1433,842,575,771,311,261,66
61,1164,464,1259,1266,46,251,556,1056,569,608
62,47,1066,430,366,1607,131,308,154,33,5
63,877,587,1293,1602,3,5,16,21,25,17
64,669,60,57,235,40,11,3,9,5,17
65,1076,1305,1800,1197,1579,1292,201,554,48,88
66,268,1264,888,536,149,109,91,298,49,25
67,38,11,3,5,17,16,21,25,9,65
68,1611,371,1192,212,35,199,105,14,154,113
69,50,262,39,17,16,21,25,5,9,65
70,333,773,567,393,566,131,298,135,65,25
71,1422,1563,1456,144,1273,1532,1154,1128,491,401
72,1646,1798,1042,869,746,673,990,51,96,28
73,1337,38,88,5,17,25,21,16,9,65
74,437,870,52,1328,1629,1540,1169,1394,323,706
75,217,662,495,377,1370,615,53,398,191,221
76,582,562,71,31,11,9,5,17,21,16
77,1622,1700,378,168,55,474,249,482,66,83
78,949,327,245,56,115,448,77,646,546,580
79,99,58,16,21,25,17,5,65,9,33
80,445,1229,1781,1699,501,235,59,105,316,69
81,1168,1581,93,167,28,298,71,33,9,25
82,640,862,886,61,1356,71,65,17,16,21
83,801,779,44,9,17,21,16,25,5,1362
84,62,226,26,78,33,21,16,25,17,5
85,63,973,978,601,236,1291,802,694,1179,1608
86,319,1279,406,693,174,576,114,83,87,105
87,64,1627,387,1183,213,1480,1581,699,145,759
88,1487,1452,1876,1205,1704,757,732,127,536,768
89,832,833,1036,317,772,311,93,45,167,166
90,1901,604,8,67,313,88,87,262,105,101
91,1418,716,1804,1441,1121,914,680,332,410,717
92,1009,1332,1636,1531,1135,1443,1870,1360,992,1047
93,198,1202,376,1260,951,1302,1095,1057,1584,636
94,595,1025,70,49,78,21,16,25,17,5
95,1803,1621,390,709,71,346,16,21,25,17
96,1063,1555,416,945,1692,1385,1712,1336,780,1028
97,589,412,893,703,139,894,1412,672,538,774
98,790,649,1768,357,1697,992,700,506,175,330
99,670,666,1710,508,1717,550,991,299,306,210
100,233,1688,1392,126,225,320,21,16,1643,25
101,519,253,370,65,25,16,21,17,5,9
102,1402,809,301,1503,782,57,191,245,343,33
103,5,16,21,25,17,9,33,65,3,11
104,677,312,154,11,21,16,25,17,5,9
105,523,957,349,486,39,25,21,16,17,5
106,817,81,86,1865,446,1140,1054,868,80,59
107,241,477,48,486,65,17,21,16,25,5
108,930,1623,383,792,1010,82,1071,172,318,506
109,1075,1115,463,20,65,21,16,25,17,5
110,193,741,709,83,199,0,113,40,101,9
111,1290,740,432,131,43,298,26,101,17,16
112,1282,85,792,785,512,16,21,25,5,17
113,119,107,460,161,110,373,207,9,5,17
114,671,1566,650,1434,1528,1705,1524,1600,639,746
115,21,16,17,25,5,9,33,65,1773,1707
116,756,248,177,18,113,9,25,16,21,17
117,61,447,1219,1015,1147,992,907,155,284,140
118,1518,88,16,21,17,25,5,65,9,33
119,1384,15,33,16,21,25,17,5,65,9
120,1068,277,1779,1570,1588,866,913,836,824,830
121,1726,192,1539,89,813,673,104,171,282,227
122,1457,40,101,5,21,16,25,17,9,65
123,90,439,1408,803,1828,1069,800,644,1339,1119
124,33,5,21,16,25,17,9,65,3,11
125,676,920,92,165,530,326,486,14,78,3
126,351,1091,542,616,1029,588,231,737,539,717
127,95,1770,1855,1058,1032,415,480,733,617,868
128,906,1316,1681,230,1219,471,306,427,1033,23
129,1404,1832,1275,1743,164,560,253,370,25,21
130,561,1073,641,1435,1423,548,848,500,1618,37
131,469,895,1293,171,59,9,25,16,21,17
132,1649,119,1000,1120,30,96,343,135,25,16
133,611,491,413,114,278,347,28,26,113,9
134,941,242,249,98,88,78,101,17,25,21
135,861,1003,1684,1043,1886,754,288,593,1181,206
136,1675,1039,987,227,199,0,102,9,17,21
137,1776,1320,543,103,1105,991,228,448,93,273
138,1428,266,959,1620,574,1838,991,334,104,497
139,1641,1600,105,101,11,33,5,21,16,25
140,1082,1795,1766,1103,1862,1329,1271,1375,778,459
141,1473,984,678,230,659,459,1572,808,56,312
142,1662,1008,159,308,3,65,5,17,16,21
143,610,1471,106,1214,884,626,177,1155,435,200
144,899,642,1331,1720,710,818,1711,1809,1051,713
145,1306,107,29,270,260,166,65,16,21,25
146,108,515,1501,1827,1104,904,163,440,320,180
147,111,506,88,14,11,5,16,21,25,17
148,679,1071,358,271,270,59,31,5,25,21
149,1824,489,227,20,113,17,16,21,25,5
150,493,503,540,226,43,26,135,21,16,25
151,130,1898,692,117,164,468,165,370,21,16
152,529,857,1665,1395,1113,216,120,26,16,25
153,197,342,424,1030,121,385,555,228,29,482
154,1806,1681,432,74,20,40,9,5,16,21
155,511,444,1642,801,122,512,528,110,219,88
156,1874,124,1007,869,30,926,240,207,21,16
157,407,438,789,1853,1354,1438,365,1309,1377,1868
158,571,735,1077,621,70,367,125,93,41,105
159,1799,573,267,1784,459,1709,465,126,1246,907
160,1027,1449,128,685,651,1185,381,569,96,530
161,1420,288,1359,112,122,82,1012,685,172,364
162,133,1186,275,203,79,71,113,11,5,21
163,1576,781,105,14,39,9,5,17,16,21
164,569,271,105,11,3,65,5,16,21,25
165,1364,1767,1081,1059,1216,1341,1392,1147,330,410
166,1694,1159,1195,731,1138,837,811,269,759,318
167,1573,1316,115,54,646,240,137,180,316,39
168,1209,699,1233,335,249,375,167,180,308,14
169,516,634,1254,549,1592,664,1679,1676,138,1601
170,184,829,847,1878,576,40,21,16,25,17
171,563,143,1037,402,1400,674,1837,1514,1668,1542
172,1843,106,733,212,35,48,49,199,316,0
173,499,26,25,16,21,17,5,9,33,65
174,291,932,798,1192,22,35,343,49,199,105
175,614,683,600,1703,146,955,579,888,770,46
176,1695,1410,1734,585,1092,898,690,379,410,29
177,150,1453,483,148,17,16,21,25,5,9
178,605,1185,72,693,303,174,207,102,65,25
179,1236,752,141,578,737,225,370,0,14,11
180,546,370,316,9,5,17,21,16,25,33
181,1250,1194,212,282,45,44,20,0,113,135
182,1465,1765,151,931,448,38,16,21,25,5
183,1882,1759,152,344,17,16,21,25,171,5
184,708,1255,1351,1467,764,1462,239,1137,293,488
185,729,1280,1241,522,1252,398,254,11,9,17
186,1831,939,1425,280,901,253,196,0,14,113
187,510,1785,1840,396,767,921,1373,1488,1143,1624
188,1281,274,1353,1478,241,578,749,624,42,98
189,156,381,352,440,97,59,26,9,21,16
190,1546,1151,753,1017,468,410,954,426,370,20
191,73,39,17,16,21,25,5,9,65,33
192,324,1558,1849,1696,157,627,552,1153,1758,1085
193,411,1486,791,658,1567,158,588,990,419,954
194,1049,1805,700,1206,98,45,80,77,199,113
195,948,1239,461,1740,1490,478,1485,1107,187,1190
196,970,162,422,705,1569,174,16,21,25,17
197,1664,163,1222,626,528,576,77,166,17,16
198,654,442,1299,199,65,17,21,16,25,5
199,844,897,1187,322,1369,1150,168,28,39,25
200,823,1064,701,918,1887,1034,490,922,477,269
201,1780,316,101,65,9,5,17,21,16,25
202,176,16,21,25,5,17,33,9,65,1477
203,11,3,65,16,21,25,17,5,9,33
204,1719,177,8,609,131,135,3,33,16,21
