user,item,cnt,daytime,weekday,isweekend,homework,cost,weather,country,city
0,0,1,morning,sunday,weekend,unknown,free,sunny,United States,0
1,1,7,afternoon,saturday,weekend,unknown,free,cloudy,Spain,0
2,2,6,evening,monday,workday,unknown,free,cloudy,Spain,369
3,3,1,sunset,thursday,workday,unknown,free,unknown,United States,1028
4,4,428,night,thursday,workday,home,free,sunny,Switzerland,147
5,5,6,sunset,saturday,weekend,home,free,sunny,Spain,369
6,6,1,afternoon,wednesday,workday,work,paid,cloudy,Spain,369
7,7,37,sunset,tuesday,workday,unknown,free,cloudy,India,514
4,8,3,afternoon,thursday,workday,work,free,unknown,Switzerland,147
8,9,26,afternoon,thursday,workday,unknown,free,cloudy,Canada,0
9,10,1,noon,monday,workday,unknown,free,unknown,unknown,0
10,11,16,sunset,tuesday,workday,unknown,free,sunny,Spain,373
11,12,8,sunrise,thursday,workday,unknown,free,unknown,unknown,0
12,13,14,night,wednesday,workday,home,free,sunny,United States,0
13,11,1,afternoon,sunday,weekend,home,free,cloudy,United Kingdom,0
14,11,136,afternoon,sunday,weekend,unknown,free,sunny,Greece,0
15,14,1,evening,thursday,workday,unknown,free,unknown,Peru,799
16,15,635,morning,saturday,weekend,unknown,paid,cloudy,Canada,133
17,10,30,evening,friday,weekend,unknown,free,sunny,Canada,136
18,16,1,noon,friday,workday,unknown,free,unknown,United States,1007
19,17,2,noon,saturday,weekend,unknown,free,cloudy,United Kingdom,0
20,18,256,evening,sunday,weekend,unknown,free,sunny,Lithuania,0
21,19,1,morning,monday,workday,work,free,cloudy,Spain,369
22,20,11,morning,tuesday,workday,home,free,cloudy,United Kingdom,401
23,5,13,afternoon,saturday,weekend,home,free,cloudy,United Kingdom,0
24,21,27,evening,monday,workday,unknown,free,foggy,United States,0
25,21,177,night,monday,workday,unknown,free,sunny,Poland,0
26,22,31,afternoon,friday,workday,work,free,sunny,Israel,0
27,23,1,evening,monday,workday,home,free,sunny,Belgium,0
12,24,16,sunrise,thursday,workday,home,free,sunny,United States,0
28,17,11,sunset,monday,workday,work,free,cloudy,Slovenia,0
29,25,198,morning,wednesday,workday,unknown,free,sunny,Palestine,0
30,26,18,afternoon,sunday,weekend,unknown,free,sunny,United States,0
31,5,4,morning,tuesday,workday,work,free,cloudy,Spain,369
32,27,9,noon,tuesday,workday,work,free,sunny,Spain,373
33,11,10,night,friday,workday,unknown,free,sunny,Ecuador,356
16,28,15,night,saturday,weekend,home,free,rainy,Canada,133
34,29,7,afternoon,sunday,weekend,unknown,free,unknown,United Kingdom,0
35,30,9,afternoon,tuesday,workday,unknown,free,cloudy,United States,0
36,31,4,sunset,thursday,workday,unknown,free,unknown,unknown,0
37,32,34,evening,saturday,weekend,unknown,free,sunny,Canada,128
38,33,16,evening,sunday,weekend,work,free,sunny,United States,1000
39,26,23,morning,thursday,workday,work,free,rainy,United States,1031
40,34,1,evening,saturday,weekend,home,free,cloudy,Spain,374
41,35,1,evening,sunday,weekend,unknown,free,cloudy,Mexico,0
42,5,13,morning,saturday,weekend,unknown,free,sunny,Lithuania,661
43,25,821,evening,sunday,weekend,unknown,free,sunny,United States,0
44,5,98,morning,thursday,workday,work,free,sunny,Spain,0
45,36,237,evening,thursday,workday,unknown,free,cloudy,Spain,378
46,37,10,afternoon,thursday,workday,unknown,free,cloudy,Netherlands,0
47,25,1719,morning,thursday,workday,unknown,free,cloudy,Peru,799
48,38,140,night,saturday,weekend,home,paid,sunny,Spain,369
47,21,105,afternoon,saturday,weekend,unknown,free,foggy,Peru,799
49,39,7,noon,saturday,weekend,unknown,free,cloudy,Australia,0
50,16,12,morning,friday,workday,unknown,free,foggy,Peru,799
51,31,108,noon,tuesday,workday,unknown,free,cloudy,Spain,369
52,40,7,morning,sunday,weekend,home,free,cloudy,United Kingdom,390
53,41,1,afternoon,wednesday,workday,unknown,free,cloudy,Spain,369
54,42,67,night,tuesday,workday,unknown,free,sunny,Germany,331
55,21,57,night,saturday,weekend,unknown,free,cloudy,United States,0
39,26,48,afternoon,thursday,workday,unknown,free,sunny,United States,1031
48,38,1,afternoon,tuesday,workday,unknown,paid,unknown,Spain,0
4,4,262,night,friday,workday,home,free,sunny,Switzerland,147
56,43,325,night,sunday,weekend,unknown,free,cloudy,Mexico,724
57,44,14,evening,sunday,weekend,home,free,cloudy,United States,0
58,25,2,night,friday,workday,unknown,free,sunny,United States,1007
2,45,6,morning,tuesday,workday,unknown,free,cloudy,Spain,369
59,3,4,evening,sunday,weekend,unknown,free,cloudy,Austria,23
60,25,16,evening,saturday,weekend,home,free,sunny,Italy,0
61,46,1,afternoon,saturday,weekend,unknown,free,unknown,unknown,0
62,47,12,sunset,thursday,workday,unknown,free,stormy,unknown,0
63,5,90,evening,saturday,weekend,home,free,sunny,Hong Kong,251
64,16,5,night,monday,workday,home,free,cloudy,Spain,369
65,48,20,evening,monday,workday,unknown,free,cloudy,Denmark,0
66,21,2,noon,friday,workday,unknown,free,unknown,United States,1022
32,49,4,morning,wednesday,workday,home,free,cloudy,Spain,373
67,5,128,night,sunday,weekend,unknown,free,cloudy,Spain,376
68,35,4,morning,monday,workday,unknown,free,unknown,Israel,454
69,50,27,evening,sunday,weekend,unknown,free,cloudy,Canada,0
70,21,81,evening,saturday,weekend,unknown,free,cloudy,Spain,373
13,20,44,evening,wednesday,workday,unknown,free,sunny,United Kingdom,0
2,5,15,sunset,thursday,workday,unknown,free,cloudy,Spain,369
71,45,1,morning,tuesday,workday,home,free,sunny,United States,1022
72,51,11,morning,wednesday,workday,unknown,free,unknown,unknown,0
73,5,9,night,friday,workday,unknown,free,unknown,unknown,0
74,52,2,morning,sunday,weekend,unknown,free,cloudy,Canada,134
75,53,1,evening,sunday,weekend,home,free,unknown,Poland,842
76,5,14,afternoon,thursday,workday,unknown,free,cloudy,United States,0
22,54,9,evening,sunday,weekend,unknown,free,sunny,United Kingdom,401
77,55,7,evening,sunday,weekend,unknown,free,foggy,United States,0
34,16,4,sunrise,sunday,weekend,unknown,free,unknown,United Kingdom,0
78,56,213,evening,monday,workday,unknown,free,cloudy,Costa Rica,321
64,57,24,night,wednesday,workday,home,free,cloudy,Spain,369
65,21,30,afternoon,friday,workday,home,free,cloudy,Denmark,0
79,58,18,morning,monday,workday,unknown,free,unknown,unknown,0
80,59,19,noon,tuesday,workday,work,free,cloudy,Spain,0
81,28,1,morning,sunday,weekend,unknown,free,sunny,United Kingdom,401
39,60,19,evening,thursday,workday,home,free,rainy,United States,1031
82,61,9,afternoon,thursday,workday,unknown,free,cloudy,Morocco,673
1,5,4,morning,sunday,weekend,unknown,free,sunny,Spain,0
83,44,1,morning,thursday,workday,unknown,free,cloudy,Slovenia,0
84,62,5,sunset,wednesday,workday,unknown,free,stormy,United States,0
9,0,1,morning,sunday,weekend,unknown,free,unknown,unknown,0
85,63,104,evening,saturday,weekend,unknown,free,rainy,United Kingdom,401
86,16,7,afternoon,sunday,weekend,unknown,free,rainy,United Kingdom,401
87,64,246,evening,wednesday,workday,unknown,free,sunny,United States,1000
15,65,45,evening,wednesday,workday,unknown,free,cloudy,Peru,799
88,66,1,sunset,wednesday,workday,unknown,free,sunny,United States,0
89,17,1,morning,saturday,weekend,unknown,free,unknown,Canada,128
32,21,13,afternoon,saturday,weekend,unknown,free,sunny,Spain,373
90,67,15,morning,monday,workday,work,free,rainy,United States,1003
33,68,1,noon,monday,workday,unknown,free,rainy,Ecuador,356
91,3,15,afternoon,monday,workday,home,free,rainy,Colombia,0
90,67,24,evening,friday,weekend,unknown,free,sunny,United States,1004
53,69,1,evening,wednesday,workday,unknown,free,cloudy,Spain,369
92,56,10,sunset,thursday,workday,unknown,free,cloudy,United States,0
93,21,2,night,thursday,workday,unknown,free,drizzle,Netherlands,0
94,70,1,morning,saturday,weekend,unknown,free,sunny,Israel,0
68,11,26,evening,monday,workday,unknown,free,cloudy,Israel,454
95,71,1490,afternoon,friday,workday,unknown,free,sunny,Iraq,570
78,5,8,afternoon,thursday,workday,unknown,free,sunny,Costa Rica,321
90,16,52,afternoon,sunday,weekend,unknown,free,cloudy,United States,998
96,72,1,sunset,wednesday,workday,unknown,paid,drizzle,Canada,0
91,73,10,noon,friday,workday,unknown,free,stormy,Colombia,0
33,74,1,night,thursday,workday,unknown,free,unknown,Ecuador,356
97,16,11,night,thursday,workday,home,free,cloudy,Canada,135
38,33,1,afternoon,sunday,weekend,work,free,sunny,United States,1000
91,21,4,night,tuesday,workday,unknown,free,drizzle,Colombia,0
7,75,11,morning,sunday,weekend,unknown,free,foggy,India,514
52,16,21,morning,sunday,weekend,home,free,sunny,United Kingdom,390
98,69,1,afternoon,sunday,weekend,unknown,free,cloudy,Peru,799
99,76,6,afternoon,friday,workday,unknown,free,foggy,Peru,799
100,77,1,evening,sunday,weekend,unknown,paid,cloudy,Russia,886
4,5,1,noon,thursday,workday,work,free,rainy,Switzerland,147
101,21,1,sunset,wednesday,workday,unknown,free,foggy,United States,1002
102,25,4,evening,sunday,weekend,home,free,unknown,Czech Rep.,327
37,78,12,afternoon,friday,workday,unknown,free,rainy,Canada,128
103,5,4,afternoon,wednesday,workday,unknown,free,rainy,Spain,369
104,11,1,night,friday,workday,unknown,free,snowy,United States,1038
105,21,2,noon,friday,workday,unknown,free,cloudy,United States,1003
45,79,1,evening,monday,workday,unknown,free,cloudy,Spain,378
106,80,37,evening,saturday,weekend,home,free,sunny,Taiwan,964
