user_id,item_id,daytime,rating
0,0,morning,0
1,1,afternoon,1
2,2,evening,1
3,3,sunset,0
4,4,night,3
5,5,sunset,1
6,6,afternoon,0
7,7,sunset,2
4,8,afternoon,0
8,9,afternoon,2
9,10,noon,0
10,11,sunset,2
11,12,sunrise,1
12,13,night,1
13,11,afternoon,0
14,11,afternoon,3
15,14,evening,0
16,15,morning,3
17,10,evening,2
18,16,noon,0
19,17,noon,0
20,18,evening,3
21,19,morning,0
22,20,morning,1
23,5,afternoon,1
24,21,evening,2
25,21,night,3
26,22,afternoon,2
27,23,evening,0
12,24,sunrise,2
28,17,sunset,1
29,25,morning,3
30,26,afternoon,2
31,5,morning,0
32,27,noon,1
33,11,night,1
16,28,night,2
34,29,afternoon,1
35,30,afternoon,1
36,31,sunset,0
37,32,evening,2
38,33,evening,2
39,26,morning,2
40,34,evening,0
41,35,evening,0
42,5,morning,1
43,25,evening,3
44,5,morning,3
45,36,evening,3
46,37,afternoon,1
47,25,morning,3
48,38,night,3
47,21,afternoon,3
49,39,noon,1
50,16,morning,1
51,31,noon,3
52,40,morning,1
53,41,afternoon,0
54,42,night,3
55,21,night,3
39,26,afternoon,2
48,38,afternoon,0
4,4,night,3
56,43,night,3
57,44,evening,1
58,25,night,0
2,45,morning,1
59,3,evening,0
60,25,evening,2
61,46,afternoon,0
62,47,sunset,1
63,5,evening,3
64,16,night,1
65,48,evening,2
66,21,noon,0
32,49,morning,0
67,5,night,3
68,35,morning,0
69,50,evening,2
70,21,evening,3
13,20,evening,2
2,5,sunset,2
71,45,morning,0
72,51,morning,1
73,5,night,1
74,52,morning,0
75,53,evening,0
76,5,afternoon,1
22,54,evening,1
77,55,evening,1
34,16,sunrise,0
78,56,evening,3
64,57,night,2
65,21,afternoon,2
79,58,morning,2
80,59,noon,2
81,28,morning,0
39,60,evening,2
82,61,afternoon,1
1,5,morning,0
83,44,morning,0
84,62,sunset,1
9,0,morning,0
85,63,evening,3
86,16,afternoon,1
